,sales,Up_Revision,T2_prime,T3_prime,S1_prime,S2_prime,Pre_IPO_Price_Revision,Post_IPO_Initial_Return
0,51.345,11.11111111111111,0.054249547920433995,0.9088764840003145,0.004874597059517258,0.009198836386508374,0.0,1.0
1,25.936,0.0,0.0513950073421439,0.898724302496329,0.0032580763582966228,0.011104992657856094,1.0,0.0
2,7.378,0.0,0.06176358798935766,0.9093500570125428,0.00943967928281317,0.006271379703534778,1.0,0.0
3,8.526,0.0,0.06162973725632643,0.9170601767768495,0.00943967928281317,0.00714372200024216,1.0,1.0
4,632.298,5.0,0.048550236008091704,0.8884693189480782,0.004517869184086311,0.0100472016183412,0.0,1.0
5,197.591,0.0,0.04528029334963053,0.8440030147214865,0.003444635813100728,0.00533362964609145,0.0,1.0
6,5.146,0.0,0.04429496128950374,0.8854550069805813,0.005203706054067775,0.006726741972331514,1.0,1.0
7,107.462,0.0,0.055852485301977554,0.8957776590058792,0.004899340815962943,0.010689470871191877,1.0,0.0
8,279.6,0.0,0.06190508337271316,0.9088638358198879,0.003915479646256667,0.0083710254506177,1.0,1.0
9,494.008,0.0,0.050251806437486314,0.8875629516093716,0.00886796584190935,0.009853295379899277,1.0,0.0
10,0.32,0.0,0.06651693158258466,0.8984105044920525,0.005010366275051832,0.007083621285418107,1.0,1.0
11,26.499,6.666666666666667,0.04518492672714585,0.8658408932309839,0.00366364270760642,0.007501744591765527,0.0,1.0
12,0.074,8.695652173913043,0.06873698163226662,0.9311683393296724,0.0076690020829388375,0.01117212649119485,0.0,1.0
13,166.896,0.0,0.048784414748027694,0.8839693017764182,0.005259485858423228,0.013739065099554554,1.0,1.0
14,510.192,0.0,0.03577334362253335,0.8699151140998788,0.0054018300077169,0.005071105721530151,1.0,1.0
15,571.192,0.0,0.05204460966542751,0.8808859975216853,0.0055762081784386614,0.005111524163568773,0.0,1.0
16,363.465,0.0,0.05325914149443561,0.8469351704645822,0.006359300476947536,0.011835364776541247,1.0,1.0
17,170.27,0.0,0.03869488014205386,0.9197247706422018,0.003995264871263687,0.005548978987866233,1.0,1.0
18,132.5,12.5,0.03671687778158165,0.8720472440944882,0.004450530640191715,0.0066757959602875725,0.0,1.0
19,107.462,0.0,0.05564814143902616,0.9057314687341497,0.0047822621549163105,0.009854358379827548,1.0,0.0
20,689.7230000000001,6.666666666666667,0.04715333566189312,0.867481662591687,0.003981837233670974,0.005099545930841775,0.0,1.0
21,64.606,0.0,0.04688689298218907,0.8964834830263358,0.004414674988582737,0.014157405997868777,0.0,1.0
22,0.176,0.0,0.058778509107607534,0.9148936170212766,0.008878003979794888,0.00596969233124139,1.0,1.0
23,3.88,0.0,0.05499360539472154,0.890942913614696,0.007324729682595047,0.005929543076386466,0.0,1.0
24,2.23,0.0,0.057854406130268196,0.8982120051085568,0.004597701149425287,0.010855683269476373,1.0,1.0
25,94.739,0.0,0.057410964977094726,0.9295108615339146,0.006723806709029112,0.0065021427515885915,1.0,1.0
26,345.322,5.263157894736842,0.05391176862588298,0.8440030147214865,0.0030654404904704785,0.012061841929894708,0.0,1.0
27,428.516,0.0,0.04858255788790305,0.892447522181346,0.006762605496645748,0.008872538411599221,1.0,1.0
28,18.643,0.0,0.051739813207703114,0.9123068022150591,0.008513100256219522,0.008430448797421275,1.0,1.0
29,257.056,0.0,0.05220314988497611,0.8951807939597711,0.004777915413201203,0.00513183507343833,1.0,0.0
30,59.039,8.333333333333332,0.04766877572332453,0.852816512070766,0.004361447263345414,0.006081454634805578,0.0,1.0
31,38.434,0.0,0.05367626502655857,0.8800670953312832,0.006569751188146492,0.006569751188146492,1.0,1.0
32,68.525,19.23076923076923,0.05592941528338567,0.9222371766113354,0.00493494840735756,0.01114101988933752,0.0,1.0
33,185.076,0.0,0.05553732567678425,0.9093519278096801,0.004593929450369155,0.00951599671862182,0.0,0.0
34,40.045,8.108108108108109,0.053774050320670945,0.8992599901332018,0.0046373951652688705,0.00680809077454366,0.0,1.0
35,36.12,19.23076923076923,0.05710211841390549,0.9110537751222162,0.004073872895165671,0.010116784356328082,0.0,1.0
36,52.897,2.857142857142857,0.047122471381527364,0.898463227222832,0.0050964403324447235,0.006664575819350792,0.0,1.0
37,519.966,16.666666666666664,0.04419746704574826,0.8873093822693202,0.004523132592401137,0.007753941586973378,0.0,1.0
38,32.068,3.125,0.05422955422955423,0.8725283725283726,0.004563004563004563,0.004914004914004914,0.0,1.0
39,689.7230000000001,19.23076923076923,0.052843888664784185,0.8778885495303406,0.004840661557079467,0.008298276954993373,0.0,1.0
40,46.672,0.0,0.0461324570273003,0.8830889787664308,0.0037917087967644083,0.008594539939332659,1.0,1.0
41,608.16,19.23076923076923,0.049263450042698546,0.9181255337318531,0.005924423569598634,0.01430401366353544,0.0,1.0
42,107.462,0.0,0.05622393326916907,0.902149502726981,0.006336220725056144,0.01122874558870709,1.0,1.0
43,69.833,0.0,0.04953631703242901,0.8440030147214865,0.0032256206439721215,0.008985657508208053,1.0,0.0
44,107.462,0.0,0.061957569913211184,0.8844021215043394,0.004459980713596914,0.009281581485053038,1.0,1.0
45,72.503,19.23076923076923,0.049487365786711875,0.9146686041818035,0.00403648986841043,0.006700573181561314,0.0,1.0
46,107.462,0.0,0.05749163221106517,0.92537901161646,0.0057097853908249655,0.011813349084465446,1.0,1.0
47,74.005,0.0,0.057173107464266806,0.8965943179812952,0.007789457762988732,0.015853571672162697,1.0,0.0
48,75.813,19.23076923076923,0.053901437371663245,0.8936516084873375,0.0034223134839151265,0.006416837782340862,0.0,1.0
49,19.157,0.0,0.06184012066365008,0.8953242835595777,0.007692307692307693,0.008144796380090498,1.0,1.0
50,8.822,0.0,0.0582018927444795,0.911198738170347,0.005362776025236593,0.006309148264984227,1.0,0.0
51,139.357,13.333333333333334,0.04011824324324324,0.8616976351351351,0.006228885135135135,0.006228885135135135,0.0,1.0
52,20.719,0.0,0.05476795506219072,0.9025678748161027,0.006620302260264812,0.006553430520262137,1.0,0.0
